"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"09/17/2017","93","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"09/18/2017","101","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"09/19/2017","72","PM2.5","Reseda","06-037-1201","AQS"
"09/20/2017","67","PM2.5","Reseda","06-037-1201","AQS"
"09/21/2017","59","PM2.5","Reseda","06-037-1201","AQS"
"09/22/2017","58","PM2.5","Reseda","06-037-1201","AQS"
"09/23/2017","64","Ozone","Pomona","06-037-1701","AQS"
"09/24/2017","84","Ozone","Los Angeles-North Main Street","06-037-1103","AQS"
"09/25/2017","62","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"09/26/2017","93","Ozone","Pomona","06-037-1701","AQS"
"09/27/2017","77","Ozone","Pomona","06-037-1701","AQS"
"09/28/2017","87","Ozone","Los Angeles-North Main Street","06-037-1103","AQS"
"09/29/2017","97","Ozone","Azusa","06-037-0002","AQS"
"09/30/2017","147","Ozone","Lancaster-Division Street","06-037-9033","AQS"
"10/01/2017","90","Ozone","Santa Clarita","06-037-6012","AQS"
"10/02/2017","71","Ozone","Reseda","06-037-1201","AQS"
"10/03/2017","68","PM2.5","Reseda","06-037-1201","AQS"
"10/04/2017","71","Ozone","Azusa","06-037-0002","AQS"
"10/05/2017","101","Ozone","Reseda","06-037-1201","AQS"
"10/06/2017","129","Ozone","Azusa","06-037-0002","AQS"
"10/07/2017","126","Ozone","Pomona","06-037-1701","AQS"
"10/08/2017","119","Ozone","Santa Clarita","06-037-6012","AQS"
"10/09/2017","67","PM2.5","Long Beach (South)","06-037-4004","AQS"
"10/10/2017","67","PM2.5","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/11/2017","74","Ozone","Santa Clarita","06-037-6012","AQS"
"10/12/2017","87","Ozone","Santa Clarita","06-037-6012","AQS"
"10/13/2017","97","Ozone","Santa Clarita","06-037-6012","AQS"
"10/14/2017","136","Ozone","Azusa","06-037-0002","AQS"
"10/15/2017","100","Ozone","Los Angeles-North Main Street","06-037-1103","AQS"
"10/16/2017","87","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/17/2017","88","NO2","Long Beach-Route 710 Near Road","06-037-4008","AQS"
"10/18/2017","119","Ozone","Azusa","06-037-0002","AQS"
"10/19/2017","94","PM2.5","Reseda","06-037-1201","AQS"
